Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Warsong,1991-04-25,3.87,n/a,Strategy - Turn-Based - Tactics,"Langrisser (ラングリッサー), known as Warsong in North America, is a tactical role-playing game developed by Nippon Computer Systems (NCS). The first in the Langrisser series, it blended tactical warfare with RPG elements, similar to the Fire Emblem series. It was initially released for the Mega Drive/Genesis console and the PC Engine (in Super CD-ROM² format), the former version being published by Treco in America. The PC-Engine version was released under the title, Langrisser: The Descendants of Light. It was later re-released along Der Langrisser (a remake of Langrisser II) in a compilation for the Sega Saturn and PlayStation. That compilation was released for the PlayStation Network in 2009",https://images.launchbox-app.com/dbc15c4f-d9e1-480d-9509-2f4d16ab5bd2.jpg
Pirates! Gold,1993,3.87,n/a,Action Adventure - General,"Pirates! is a video game created by Sid Meier and developed and published by MicroProse in 1987. It was the first game to include the name ""Sid Meier"" in its title as an effort by MicroProse to attract fans of Meier's earlier games, most of which were combat vehicle simulation video games. The game is a simulation of the life of a pirate, a privateer, or a pirate hunter in the 16th, 17th and 18th centuries.",https://images.launchbox-app.com/d967eee4-5cdc-475f-890d-f48827f48884.jpg
Thunder Force III,1990-06-07,3.87,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Thunder Force III (サンダーフォースIII) is a 1990 scrolling shooter game developed by Technosoft for the Sega Genesis. It is the third chapter in the Thunder Force series. It was then retooled into an arcade game named Thunder Force AC. In 1991, Thunder Force AC was ported to the Super Nintendo Entertainment System under the title Thunder Spirits.",https://images.launchbox-app.com/a32c7519-cd96-4e3c-bc09-1cd29208737c.jpg
Mega Turrican,1994,3.86,n/a,Action - Platformer - 2D,"Mega Turrican is a 16-bit shooter game, developed by Factor 5 in 1993 and marketed by Data East in 1994. This game of the Turrican series was initially designed for the Mega Drive/Genesis, and later followed by an Amiga port converted by Kaiko and Neon Studios under the title of Turrican 3: Payment Day. However, despite not being the original, the Amiga version was the one that was first commercially released in 1993, published by Rainbow Arts in Germany and Renegade in the rest of Europe. The Mega Drive version did not have a publisher and stayed unreleased from spring 1993 until 1994, when Data East took over its worldwide distribution. Data East itself released the game in North America, and contracted Sony Imagesoft for the game's distribution in Europe.",https://images.launchbox-app.com/d05cded4-29ee-4831-b26f-c7fe99c5f621.jpg
Ghouls 'n Ghosts,1989,3.86,n/a, Action - Platformer - 2D,"Ghouls 'n Ghosts (Japanese: 大魔界村 Hepburn: Daimakaimura, lit. Great Demon World Village) is a side-scrolling platform game developed by Capcom and released as an arcade game in 1988, and subsequently ported to a number of other platforms. It is the sequel to Ghosts 'n Goblins and the second game in the Ghosts 'n Goblins series",https://images.launchbox-app.com/8373d65d-50ca-4de4-aa30-356832459a9c.jpg
Shadowrun,1994,3.86,n/a, Role-Playing - Action RPG,"Shadowrun is a science fantasy tabletop role-playing game set in a near-future fictional universe in which cybernetics, magic and fantasy creatures co-exist. It combines genres of cyberpunk, urban fantasy and crime, with occasional elements of conspiracy, horror and detective fiction. From its inception in 1989, Shadowrun has remained among the most popular role-playing games. It has spawned a vast franchise that includes a series of novels, a collectible card game, two miniature-based tabletop wargames, and multiple video games",https://images.launchbox-app.com/31a69cd7-f299-43c1-aa60-c9b6f20ca923.png
"
Blades of Vengeance",1993,3.86,n/a,Action - Platformer - 2D,"Blades of Vengeance is a platform game that was developed by Beam Software and published by Electronic Arts for the Sega Mega Drive/Genesis. In this game, one or two players can select one of three fantasy warriors to fight through a large range of platform levels in order to defeat the forces of darkness.",https://images.launchbox-app.com/a95a9ccc-7545-4654-bd9f-3b5d2ddbaf65.jpg
Road Rash 3,1995-05-15,3.86,n/a,Racing - Arcade - Automobile,Road Rash 3 is a racing video game developed by American studio Monkey Do Productions and published by Electronic Arts exclusively for Sega Genesis in 1995.,https://images.launchbox-app.com/c8ad91aa-840c-4c37-852a-7a0b349ae83a.jpg
"
Saturday Night Slam Masters",1994,3.86,n/a,Sports - Individual - Combat - Wrestling,"Saturday Night Slam Masters, known in Japan as Muscle Bomber: The Body Explosion (Japanese: マッスルボマー ザ・ボディー・エクスプロージョン), is a 1993 pro wrestling arcade game released for the CP System by Capcom. The game features character designs by manga artist Tetsuo Hara, famous for Fist of the North Star.",https://images.launchbox-app.com/e4a20271-a572-4c89-b0db-1f20fbfd7317.jpg
Yuu Yuu Hakusho: Makyo Toitsusen,1994-09-30,3.85,n/a,Action - Fighting - 2D,"Yu Yu Hakusho Makyō Tōitsusen (幽ゆう☆遊ゆう☆白はく書しょ 魔ま強きょう統とう一いつ戦せん) is a 1994 fighting game developed by Treasure and published by Sega for the Mega Drive. It is based on the manga series Yu Yu Hakusho by Yoshihiro Togashi. The plot follows the protagonist Yusuke Urameshi, who is tasked by the ruler of the afterlife with solving detective-style cases involving both humans and demons threatening the living world. The story begins to focus heavily on martial arts battles as it progresses",
NHL '94,1993-03-01,3.85,n/a,Sports - Team - Ice Hockey - Sim,"NHL '94 is an ice hockey game by EA Sports for the Genesis, Super NES and Sega CD, as well as the first release for the PC (DOS), simply titled ""NHL Hockey"", without the ""94"" in the title. The game is officially licensed from the National Hockey League and the NHL Players' Association. Being the third game in the NHL series media franchise, it was released in October 1993. NHL '94 launched to critical acclaim, and has since been referred to as both the greatest sports game of all time as well as one of the best games ever made.",https://images.launchbox-app.com/26385391-6991-4eec-8d14-ecce8b5d9e74.jpg
"
The Punisher",1994,3.85,n/a,Action - Beat-'Em-Up - 2D,"The Punisher is a third-person shooter video game developed by Volition and published by THQ. It was released in 2005 for the PlayStation 2, Xbox, and Microsoft Windows; a mobile phone game was also developed by Amplified Games and released in 2004. The game stars the Marvel Comics antihero, The Punisher. After his family was murdered by the Mafia, Frank Castle devoted his life to the punishment of criminals. Players take control of the titular ruthless vigilante to track down and kill criminals",https://images.launchbox-app.com/132a4f80-5153-46d3-9953-a75ff168d9d3.jpg
Teenage Mutant Ninja Turtles: The Hyperstone Heist,1992-12-21,3.85,n/a,Action - Beat-'Em-Up - 2D,"Teenage Mutant Ninja Turtles: The Hyperstone Heist, released in Europe as Teenage Mutant Hero Turtles: The Hyperstone Heist and in Japan as Teenage Mutant Ninja Turtles: Return of the Shredder is a side-scrolling beat 'em up based on the comic book characters the Teenage Mutant Ninja Turtles, and was also the first TMNT game released for the Mega Drive/Genesis.",https://images.launchbox-app.com/a6f3e7d4-bfb3-4748-a1c1-f7c88883d9e1.jpg
"
Dragon's Fury",1992,3.85,n/a, Action - Pinball,"Dragon's Revenge (ドラゴンズ・リベンジ) is a pinball video game by Tengen, released for Sega Genesis in 1993. It is a follow-up to Devil's Crush (Dragon's Fury), a pinball game set in sword and sorcery scenario, wherein the player has to defeat a dragon and a witch. The game was released to generally positive reviews",https://images.launchbox-app.com/a1a0c2f0-c967-4a0e-bace-e59ffc4d8135.jpg
Herzog Zwei,1990-01-11,3.85,n/a,Strategy - Real-Time - General,"Herzog Zwei is a real-time strategy video game developed by Technosoft and published by Sega for the Sega Genesis. An early real-time strategy game, it predates the genre-popularizing Dune II, being released first in Japan in 1989 and worldwide the following year. It is the sequel to Herzog, which was available on the Japanese MSX and PC-8801 personal computers.",https://images.launchbox-app.com/7ce57b4a-52fa-432e-b34e-00fd32407fe2.jpg
"
Splatterhouse 3",1993-03-18,3.85,n/a, Action - Beat-'Em-Up - 2D,"Splatterhouse 3, known in Japan as Splatterhouse Part 3 (スプラッターハウスPART3) (stylized as SPLATTERHOUSE • 3) is a horror themed beat'em up video game released by Namco for the Mega Drive/Genesis in 1993. It is the sequel to Splatterhouse 2 and was one of the first games to be given a rating by Sega's own Videogame Rating Council. In North America the game was given an MA-13 rating by the council for its graphic violence and gore. Unlike its predecessors, it was not originally released in Europe. The game was included as an unlockable extra in the 2010 remake, with new artwork replacing the digitized photographs due to legal reasons.",https://images.launchbox-app.com/8fb2037c-4c67-4090-9eb9-aeb341ee31be.jpg
Mega Bomberman,1994,3.85,n/a,Puzzle - Action,"Bomberman '94 (ボンバーマン'94 Bonbāman Nintī Fō) is a video game from the Bomberman series which was developed and published by Hudson Soft for the PC Engine and released on December 10, 1993 in Japan. It was later re-developed by Westone and re-published by Sega as Mega Bomberman on the Sega Mega Drive/Genesis in 1994 in other areas. The PC Engine Bomberman '94 was later released outside Japan through the Wii's Virtual Console and the PlayStation 3's PlayStation Network.",https://images.launchbox-app.com/7f69940f-bfbf-462c-9662-9a8ae16aa7db.jpg
Greatest Heavyweights,1994-05-26,3.85,n/a,Sports - Individual - Combat - Boxing / Martial Arts,"Greatest Heavyweights is a boxing video game that was published by Sega in 1994. It was released for the Sega Genesis console. It is a follow-up to Evander Holyfield's Real Deal Boxing, and is virtually identical in many ways, apart from a number of significant improvements.",https://images.launchbox-app.com/d2b053b4-f8f7-458a-9ba7-62c5e671994c.jpg
Micro Machines: Turbo Tournament 96,1995-10-01,3.84,n/a,Racing - Arcade - Automobile,"Micro Machines 2: Turbo Tournament is a 1994 racing video game developed by Supersonic Software and published by Codemasters for the Sega Mega Drive. The sequel to Micro Machines, the game is themed around Galoob's Micro Machines toys, and players race around environments in miniature toy vehicles. Micro Machines 2: Turbo Tournament adds new vehicles and game modes, and the Mega Drive version was released on J-Cart, enabling up to eight players without a multitap.",https://images.launchbox-app.com/5033a3b0-7604-43cf-8c03-b67e92409af6.jpg
StarFlight,1991,3.84,n/a,Role-Playing - General,"Starflight is a space exploration, combat, and trading role-playing video game created by Binary Systems and published by Electronic Arts in 1986. Originally developed for IBM PC compatibles, it was later ported to the Amiga, Atari ST, Macintosh, and Commodore 64. A fully revamped version of the game was released for the Sega Genesis in 1991",https://images.launchbox-app.com/c3f6fd29-aed7-4bd0-9db8-8fed8bb18255.jpg
